,,15s,,,,,,,,,,,,,,,,
Fwd/Bck,right/left,right wheel,left wheel,,,,,,,,,,,,,,,
4.5,4.5,2.16,-22.75,,,,,,,,,,,,,,,
4.5,4.5,2.16,-23.75,,,,,,,,,,,,,,,
4.5,4.5,2.16,-22.75,,,,,,,,,,,,,,,
5,4.5,3,-20.5,,,,,,,,,,,,,,,
5,4.5,3,-20.5,,,,,,,,,,,,,,,
5,4.5,3.16,-21.75,,,,,,,,,,,,,,,
5.5,4.5,8.33,-13.6,,,,,,,,,,,,,,,
5.5,4.5,8.5,-13.7,,,,,,,,,,,,,,,
5.5,4.5,8.33,-13.5,,,,,,,,,,,,,,,
6,4.5,10.75,-10.5,,,,,,,,,,,,,,,
6,4.5,11.75,-10.4,,,,,,,,,,,,,,,
6,4.5,11.75,-10.5,,,,,,,,,,,,,,,
6.5,4.5,21.5,-3.3,,,,,,,,,,,,,,,
6.5,4.5,22,-3.3,,,,,,,,,,,,,,,
6.5,4.5,21.75,-3.25,,,,,,,,,,,,,,,
7,4.5,32.5,0.6,,,,,,,,,,,,,,,
7,4.5,32.25,0.6,,,,,,,,,,,,,,,
7,4.5,32.75,0.6,,,,,,,,,,,,,,,
7.5,4.5,33,0.7,,,,,,,,,,,,,,,
7.5,4.5,32.5,0.7,,,,,,,,,,,,,,,
7.5,4.5,32.75,0.7,,,,,,,,,,,,,,,
4.5,5,0.75,-20.6,,,,,,,,,,,,,,,
4.5,5,0.75,-20.7,,,,,,,,,,,,,,,
4.5,5,0.6,-20.75,,,,,,,,,,,,,,,
5,5,1.7,-18.8,,,,,,,,,,,,,,,
5,5,1.6,-19.25,,,,,,,,,,,,,,,
5,5,1.6,-19.5,,,,,,,,,,,,,,,
5.5,5,6.8,-12.6,,,,,,,,,,,,,,,
5.5,5,6.6,-12,,,,,,,,,,,,,,,
5.5,5,6.5,-11.5,,,,,,,,,,,,,,,
6,5,10.1,-8.8,,,,,,,,,,,,,,,
6,5,10,-8.75,,,,,,,,,,,,,,,
6,5,10,-8.6,,,,,,,,,,,,,,,
6.5,5,18.5,0,,,,,,,,,,,,,,,
6.5,5,18.66,0,,,,,,,,,,,,,,,
6.5,5,18.75,0,,,,,,,,,,,,,,,
7,5,26,5.3,,,,,,,,,,,,,,,
7,5,25.5,5.4,,,,,,,,,,,,,,,
7,5,26,5.4,,,,,,,,,,,,,,,
7.5,5,26.75,5.5,,,,,,,,,,,,,,,
7.5,5,26.25,5.5,,,,,,,,,,,,,,,
7.5,5,26.25,5.75,,,,,,,,,,,,,,,
4.5,5.5,-5.5,-13.6,,,,,,,,,,,,,,,
4.5,5.5,-6,-14,,,,,,,,,,,,,,,
4.5,5.5,-5.75,-14,,,,,,,,,,,,,,,
5,5.5,-4.25,-11.9,,,,,,,,,,,,,,,
5,5.5,-4.25,-12.3,,,,,,,,,,,,,,,
5,5.5,-4,-11.8,,,,,,,,,,,,,,,
5.5,5.5,0.66,-5.25,,,,,,,,,,,,,,,
5.5,5.5,0.66,-5.25,,,,,,,,,,,,,,,
5.5,5.5,0.66,-5.2,,,,,,,,,,,,,,,
6,5.5,3.33,-2,,,,,,,,,,,,,,,
6,5.5,3.33,-2,,,,,,,,,,,,,,,
6,5.5,3.33,-2,,,,,,,,,,,,,,,
6.5,5.5,11.75,4.8,,,,,,,,,,,,,,,
6.5,5.5,12,5,,,,,,,,,,,,,,,
6.5,5.5,12,5,,,,,,,,,,,,,,,
7,5.5,20.1,12.5,,,,,,,,,,,,,,,
7,5.5,18.75,12,,,,,,,,,,,,,,,
